"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","76.30 %","Percentage","2011/2012","2011-04-01","2012-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","75.40 %","Percentage","2012/2013","2012-04-01","2013-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","76.80 %","Percentage","2013/2014","2013-04-01","2014-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","83.70 %","Percentage","2014/2015","2014-04-01","2015-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","78.30 %","Percentage","2015/2016","2015-04-01","2016-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","77.27 %","Percentage","2016/2017","2016-04-01","2017-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","77.70 %","Percentage","2017/2018","2017-04-01","2018-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","NA","Percentage","2018/2019","2018-04-01","2019-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","9.40 %","Percentage","2019/2020","2019-04-01","2020-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","NA","Percentage","2020/2021","2020-04-01","2021-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","NA","Percentage","2020/2021_Q4","2021-01-01","2021-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","Available Dec 2022","Percentage","2021/2022","2021-04-01","2022-03-31","Annual"
"PriFSMa","% of eligible children taking a free school meal in the primary sector (excluding Danesgate) - (Snapshot Jan School Census)","Available Dec 2022","Percentage","2021/2022_Q4","2022-01-01","2022-03-31","Annual"
